Category,Item,Calories,Protein (g),Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g)
Home Plates,Seasoned Rice,50,2,0,0,0,12
Home Plates,Grilled Green Beans,50,2,0,0,30,10
Home Plates,Seasoned Roast Beef,120,25,5,60,200,2
Home Plates,Roasted Eggplant,170,3,10,0,10,25
Home Plates,Roasted Mushrooms,120,4,2,0,10,20
Home Plates,Beef Gravy,25,1,2,5,200,2
Gridiron,Grilled Black Bean Burger,150,12,5,0,450,25
Gridiron,Grilled Herb Chicken Sandwich,310,25,8,60,550,35
Gridiron,Baked Russet Potato,140,3,0,0,15,35
Gridiron,Crispy Homestyle French Fries,140,2,4,0,250,25
Gridiron,Mushroom Swiss Burger,510,30,25,85,850,40
Kettle Classics,Chicken & Roasted Corn Chowder (6 fl oz),200,12,8,30,600,25
Kettle Classics,Three Bean Chili (6 fl oz),100,7,2,0,450,15
Kettle Classics,Cornbread (1 serving),150,4,8,20,250,20
Kettle Classics,Dinner Roll (1 roll),120,3,3,0,200,25
Kettle Classics,Saltine Crackers (6 crackers),70,1,3,0,130,10
Brickyard,Classic Cheese Pizza,340,15,15,30,700,35
Brickyard,Mushroom & Onion Pizza,360,15,16,30,750,38
Brickyard,White Pizza,380,15,18,35,780,40
Brickyard,Antipasto Salad,360,15,20,40,850,25
Brickyard,Tomato Cucumber Salad,15,1,0,0,5,4
Brickyard,Garlic Herb Breadstick,150,5,5,10,250,20
Brickyard,Cavatappi (1 cup),220,8,1,0,10,43
Brickyard,Alfredo Sauce (1/2 cup),250,8,22,55,450,10
Brickyard,Spaghetti Sauce (1/2 cup),100,2,4,0,450,14
Finish Line,Fruity Marshmallow Treat,100,1,0,0,40,25
Finish Line,Banana Pudding,140,4,3,10,100,25
Finish Line,Chocolate Chip Cookie,120,2,6,10,100,15
Finish Line,Sugar Cookie,120,1,4,10,100,18
Stir Fry,Pork Egg Roll,220,9,12,35,450,20
Stir Fry,Kung Pao Pork,200,15,10,40,600,15
Stir Fry,Chicken & Snow Pea Stir-Fry,130,15,4,35,400,10
Stir Fry,Korean BBQ Tofu,180,10,8,0,500,20
Stir Fry,Vegetable Fried Rice,120,4,4,0,400,20
Stir Fry,White Rice,40,1,0,0,0,10
Choolah,Black Daal,180,15,4,0,400,25
Choolah,Samosa,100,4,5,0,250,15
Choolah,White Rice,80,2,0,0,0,18
Choolah,Tikka Masala,150,6,10,25,400,8
Choolah,Chicken,240,35,9,85,450,0
